loan_id,staff_id,user_id,copy_id,borrow_date,borrow_time,due_date
83,23,22,112,2024-09-12,16:59:00,2024-10-12
84,24,29,117,2024-09-15,18:32:00,2024-10-15
85,2,36,126,2024-09-18,09:20:00,2024-10-18
86,6,43,132,2024-09-21,16:55:00,2024-10-21
87,7,50,143,2024-09-24,17:41:00,2024-10-24
88,18,6,154,2024-09-27,20:08:00,2024-10-27
89,1,13,162,2024-09-30,08:19:00,2024-10-30
90,3,20,175,2024-10-03,15:50:00,2024-11-03
91,22,27,192,2024-10-06,11:23:00,2024-11-06
92,27,34,201,2024-10-09,14:16:00,2024-11-09
93,8,41,217,2024-10-12,18:38:00,2024-11-12
94,28,48,229,2024-10-15,20:54:00,2024-11-15
95,25,5,232,2024-10-18,09:45:00,2024-11-18
96,23,12,245,2024-10-21,16:51:00,2024-11-21
97,7,19,260,2024-10-24,12:25:00,2024-11-24
98,8,26,272,2024-10-27,19:40:00,2024-11-27
99,1,33,289,2024-10-30,10:10:00,2024-11-30
100,3,40,294,2024-11-02,13:18:00,2024-12-02
101,10,47,310,2024-11-05,19:37:00,2024-12-05
102,11,4,315,2024-11-08,18:21:00,2024-12-08
103,5,11,324,2024-11-11,08:49:00,2024-12-11
104,13,18,333,2024-11-14,15:28:00,2024-12-14
105,6,25,340,2024-11-17,17:14:00,2024-12-17
106,16,32,355,2024-11-20,15:50:00,2024-12-20
107,8,39,360,2024-11-23,18:12:00,2024-12-23
108,18,46,375,2024-11-26,20:22:00,2024-12-26
109,2,3,379,2024-11-29,09:40:00,2024-12-29
110,3,10,392,2024-12-02,13:56:00,2025-01-02
111,1,17,400,2024-12-05,08:22:00,2025-01-05
112,3,24,410,2024-12-08,14:44:00,2025-01-08
113,8,31,415,2024-12-11,17:08:00,2025-01-11
114,11,38,429,2024-12-14,18:33:00,2025-01-14
115,5,45,433,2024-12-17,10:28:00,2025-01-17
116,17,1,440,2024-12-20,14:36:00,2025-01-20
117,8,8,452,2024-12-23,19:12:00,2025-01-23
118,15,15,465,2024-12-26,12:30:00,2025-01-26
119,19,22,471,2024-12-29,10:29:00,2025-01-29
120,25,29,2,2025-01-01,09:39:00,2025-02-01
121,2,36,5,2025-01-04,10:09:00,2025-02-04
122,13,43,8,2025-01-07,12:55:00,2025-02-07
123,6,50,11,2025-01-10,17:45:00,2025-02-10
124,4,6,15,2025-01-13,18:18:00,2025-02-13
125,5,13,18,2025-01-16,09:32:00,2025-02-16
126,7,20,20,2025-01-19,14:27:00,2025-02-19
127,8,27,25,2025-01-22,16:56:00,2025-02-22
128,10,34,30,2025-01-25,19:18:00,2025-02-25
129,1,41,32,2025-01-28,10:34:00,2025-02-28
130,3,48,35,2025-01-31,12:44:00,2025-03-03
